id,title,type,difficulty,company,submits,solved,tags,time_step
1700F,Puzzle,PROGRAMMING,11,codeforces,168,4.0,"['constructive algorithms', 'dp', 'greedy']",=1656916706197
1700E,Serega the Pirate,PROGRAMMING,9,codeforces,142,67.0,"['brute force', 'constructive algorithms']",=1656916706198
1700D,River Locks,PROGRAMMING,7,codeforces,109,32.0,"['binary search', 'dp', 'greedy', 'math']",=1656916706198
1700C,Helping the Nature,PROGRAMMING,5,codeforces,194,9.0,"['constructive algorithms', 'data structures', 'greedy']",=1656916706198
1700B,Palindromic Numbers ,PROGRAMMING,3,codeforces,112,29.0,"['constructive algorithms', 'implementation', 'math']",=1656916706198
1700A,Optimal Path,PROGRAMMING,1,codeforces,144,34.0,"['constructive algorithms', 'greedy', 'math']",=1656916706198
1698G,Long Binary String,PROGRAMMING,13,codeforces,120,97.0,"['bitmasks', 'math', 'meet-in-the-middle', 'number theory']",=1656916706198
1698F,Equal Reversal,PROGRAMMING,11,codeforces,126,15.0,"['constructive algorithms', 'graphs', 'implementation', 'math']",=1656916706198
1698E,PermutationForces II,PROGRAMMING,9,codeforces,187,4.0,"['brute force', 'combinatorics', 'constructive algorithms', 'greedy', 'sortings', 'trees', 'two pointers']",=1656916706198
1698D,Fixed Point Guessing,PROGRAMMING,7,codeforces,110,10.0,"['binary search', 'constructive algorithms', 'interactive']",=1656916706198
1698C,3SUM Closure,PROGRAMMING,5,codeforces,162,49.0,"['brute force', 'data structures']",=1656916706198
1698B,Rising Sand,PROGRAMMING,3,codeforces,144,91.0,"['constructive algorithms', 'greedy', 'implementation']",=1656916706198
1698A,XOR Mixup,PROGRAMMING,1,codeforces,137,94.0,"['bitmasks', 'brute force']",=1656916706198
1697F,Too Many Constraints,PROGRAMMING,11,codeforces,146,56.0,"['2-sat', 'constructive algorithms', 'graphs', 'implementation']",=1656916706198
